host_id,host_name,host_location,host_is_superhost,host_response_rate,host_listings_count,host_thumbnail_url
21410914,Eugene,"New York, New York, United States",TRUE,100,6,https://a0.muscache.com/im/pictures/a939c6f9-6fd3-4e66-ad61-a508a1aa331b.jpg?aki_policy=profile_small
82208124,Yang,"New York, New York, United States",TRUE,100,3,https://a0.muscache.com/im/pictures/a3124621-c935-482b-b835-250f45e45ce0.jpg?aki_policy=profile_small
3388950,Amaya,"New York, New York, United States",FALSE,100,6,https://a0.muscache.com/im/users/3388950/profile_pic/1384987918/original.jpg?aki_policy=profile_small
2609335,Roei,"New York, New York, United States",FALSE,100,0,https://a0.muscache.com/im/users/2609335/profile_pic/1400053428/original.jpg?aki_policy=profile_small
82442998,Katia,"Rio de Janeiro, State of Rio de Janeiro, Brazil",FALSE,NA,1,https://a0.muscache.com/im/pictures/b8a0e2dc-cb1c-4e71-b537-c6ec4e6db50d.jpg?aki_policy=profile_small
68260785,Jack,Hong Kong,TRUE,96,19,https://a0.muscache.com/im/pictures/5d54e437-20c9-4e70-8c04-2444ba853156.jpg?aki_policy=profile_small
82444858,Gilbert,US,FALSE,NA,1,https://a0.muscache.com/im/pictures/3c858b66-6092-4290-827a-0dadae273269.jpg?aki_policy=profile_small
82172293,Le House,"Rio de Janeiro, State of Rio de Janeiro, Brazil",FALSE,100,5,https://a0.muscache.com/im/pictures/141fdd9f-9b6c-4dc8-8fa8-63b8e841717e.jpg?aki_policy=profile_small
72532731,Murat,"Istanbul, İstanbul, Turkey",FALSE,NA,1,https://a0.muscache.com/im/pictures/819dbe47-2556-418a-b36a-af0fca4909f4.jpg?aki_policy=profile_small
30098437,Dragon Hostel,Hong kong,FALSE,92,53,https://a0.muscache.com/im/pictures/05c9794a-0060-48a3-9999-3dfd881a5454.jpg?aki_policy=profile_small
52628179,Zafer,TR,FALSE,NA,1,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3
7378194,Simona,"Barcelona, Catalonia, Spain",TRUE,100,2,https://a0.muscache.com/im/users/7378194/profile_pic/1420417316/original.jpg?aki_policy=profile_small
21810787,Zeynep,İSTANBUL,FALSE,100,4,https://a0.muscache.com/im/pictures/e34d4a57-fa13-41ec-b626-38afb8645d67.jpg?aki_policy=profile_small
7797080,Mathilde,"Montreal, Québec, Canada",FALSE,NA,1,https://a0.muscache.com/im/pictures/a53f7e06-cc80-4e2f-9016-f9e2181de9ba.jpg?aki_policy=profile_small
52989982,Kalama,"Waimānalo, Hawaii, United States",FALSE,100,6,https://a0.muscache.com/im/pictures/user/6491508a-aea5-49ed-ab7a-beff5cde2e12.jpg?aki_policy=profile_small
82726152,Rafaela,"Rio de Janeiro, State of Rio de Janeiro, Brazil",FALSE,NA,1,https://a0.muscache.com/im/pictures/5ef93bfe-8f69-43b8-a925-e7f001373cc3.jpg?aki_policy=profile_small
82726109,Luciana,"Rio de Janeiro, State of Rio de Janeiro, Brazil",FALSE,NA,1,https://a0.muscache.com/im/pictures/2e9c10d5-6f8e-46bb-9a2a-c4223755e7c2.jpg?aki_policy=profile_small
73167428,Kerry,"Stockton, California, United States",FALSE,100,1,https://a0.muscache.com/im/pictures/45fc3d0c-1000-4985-b50c-989a3041b6f6.jpg?aki_policy=profile_small
82827178,Cynthia,"California, United States",TRUE,100,3,https://a0.muscache.com/im/pictures/07c98f2f-9ffe-4ed8-82ca-1e9cd00c673f.jpg?aki_policy=profile_small
36438456,Marco,"New York, New York, United States",FALSE,NA,1,https://a0.muscache.com/im/pictures/abe6e7b6-2f9d-4015-8d7f-814a3a5b80d8.jpg?aki_policy=profile_small
82872205,Conceição,"Rio de Janeiro, State of Rio de Janeiro, Brazil",TRUE,100,1,https://a0.muscache.com/im/pictures/d052f5eb-536e-4ecc-a8c6-0d17a22c42c7.jpg?aki_policy=profile_small
27150166,Vanessa,"Rio de Janeiro, State of Rio de Janeiro, Brazil",FALSE,NA,2,https://a0.muscache.com/im/pictures/c301ca76-7c60-457a-9ae6-60fbcc500139.jpg?aki_policy=profile_small
679877,Sónia,"Porto, Porto District, Portugal",FALSE,100,1,https://a0.muscache.com/im/users/679877/profile_pic/1439321481/original.jpg?aki_policy=profile_small
15082914,Ramazan,"Istanbul, Turkey",FALSE,80,16,https://a0.muscache.com/im/pictures/dee1f334-1f70-4029-9378-ee84719323d0.jpg?aki_policy=profile_small
74465136,Renato,Panama,FALSE,100,1,https://a0.muscache.com/im/pictures/f694c77c-ffd5-474d-bfb2-5db1f6cbe9e6.jpg?aki_policy=profile_small
83101296,Ariana,"Los Angeles, California, United States",FALSE,NA,1,https://a0.muscache.com/im/pictures/2798bf4e-f31a-47fb-9d7c-a91663d257bf.jpg?aki_policy=profile_small
45769942,Lívia,"Rio de Janeiro, State of Rio de Janeiro, Brazil",FALSE,0,1,https://a0.muscache.com/im/users/45769942/profile_pic/1444006175/original.jpg?aki_policy=profile_small
83168095,Carlos,PT,TRUE,100,7,https://a0.muscache.com/im/pictures/bc59b9d3-5de3-4368-80df-84b1d2c1c9f1.jpg?aki_policy=profile_small
23273091,Will,Hong Kong,FALSE,NA,1,https://a0.muscache.com/im/users/23273091/profile_pic/1414989137/original.jpg?aki_policy=profile_small
1228590,Antonio,"Barcelona, Cataluña, Spain",TRUE,100,6,https://a0.muscache.com/im/users/1228590/profile_pic/1318378582/original.jpg?aki_policy=profile_small
21717359,Sean,"Honolulu, Hawaii, United States",FALSE,100,11,https://a0.muscache.com/im/pictures/user/7121ce06-93eb-4e8f-bbd1-1fb91fac8e36.jpg?aki_policy=profile_small
7551237,José,"Rio de Janeiro, Rio de Janeiro, Brazil",FALSE,0,1,https://a0.muscache.com/im/pictures/1d807e14-277c-4839-9c8b-c711994653ce.jpg?aki_policy=profile_small
33439805,Eric,Hong Kong,FALSE,NA,1,https://a0.muscache.com/im/pictures/582c27f6-9c0a-4747-b5dc-2e2cdaec39a5.jpg?aki_policy=profile_small
83554285,Jaqueline,"Barra da Tijuca, State of Rio de Janeiro, Brazil",FALSE,0,1,https://a0.muscache.com/im/pictures/1be37037-ceea-4abf-9db8-e3cf85c483ed.jpg?aki_policy=profile_small
